Date,Time ,Datetime,Shark,N,W,Tidal Phase
"Friday, 26 July, 2013",10:15:00,7/26/13 10:15,267,25.7339,-79.24774,H
"Friday, 26 July, 2013",10:20:00,7/26/13 10:20,267,25.73498,-79.24827,H
"Friday, 26 July, 2013",10:25:00,7/26/13 10:25,267,25.73495,-79.24855,H
"Friday, 26 July, 2013",10:30:00,7/26/13 10:30,267,25.73433,-79.24845,H
"Friday, 26 July, 2013",10:35:00,7/26/13 10:35,267,25.73424,-79.2496,H
"Friday, 26 July, 2013",10:40:00,7/26/13 10:40,267,25.73427,-79.24986,H
"Friday, 26 July, 2013",10:46:00,7/26/13 10:46,267,25.73502,-79.24865,H
"Friday, 26 July, 2013",10:51:00,7/26/13 10:51,267,25.74536,-79.2473,M
"Friday, 26 July, 2013",10:56:00,7/26/13 10:56,267,25.73574,-79.24894,H
"Friday, 26 July, 2013",11:01:00,7/26/13 11:01,267,25.73592,-79.24972,H
"Friday, 26 July, 2013",11:06:00,7/26/13 11:06,267,25.73636,-79.25131,M
"Friday, 26 July, 2013",11:11:00,7/26/13 11:11,267,25.73612,-79.25255,M
"Friday, 26 July, 2013",11:20:00,7/26/13 11:20,267,25.73643,-79.25252,M
"Friday, 26 July, 2013",11:25:00,7/26/13 11:25,267,25.73589,-79.25175,M
"Friday, 26 July, 2013",11:30:00,7/26/13 11:30,267,25.73574,-79.2517,M
"Friday, 26 July, 2013",11:36:00,7/26/13 11:36,267,25.73549,-79.24936,M
"Friday, 26 July, 2013",11:42:00,7/26/13 11:42,267,25.73317,-79.2489,M
"Friday, 26 July, 2013",11:45:00,7/26/13 11:45,267,25.73364,-79.24919,M
"Friday, 26 July, 2013",11:49:00,7/26/13 11:49,267,25.73333,-79.24859,M
"Friday, 26 July, 2013",11:55:00,7/26/13 11:55,267,25.73269,-79.24732,M
"Friday, 26 July, 2013",12:00:00,7/26/13 12:00,267,25.7318,-79.24787,M
"Friday, 26 July, 2013",12:05:00,7/26/13 12:05,267,25.73139,-79.24839,M
"Friday, 26 July, 2013",12:10:00,7/26/13 12:10,267,25.73143,-79.24861,M
"Friday, 26 July, 2013",12:15:00,7/26/13 12:15,267,25.73124,-79.24762,M
"Friday, 26 July, 2013",12:20:00,7/26/13 12:20,267,25.73112,-79.24777,M
"Friday, 26 July, 2013",12:25:00,7/26/13 12:25,267,25.73136,-79.24761,M
"Friday, 26 July, 2013",12:30:00,7/26/13 12:30,267,25.73093,-79.24682,M
"Friday, 26 July, 2013",12:35:00,7/26/13 12:35,267,25.73058,-79.24699,M
"Friday, 26 July, 2013",12:40:00,7/26/13 12:40,267,25.73111,-79.24824,M
"Friday, 26 July, 2013",12:45:00,7/26/13 12:45,267,25.73206,-79.24845,M
"Friday, 26 July, 2013",12:50:00,7/26/13 12:50,267,25.73325,-79.24831,M
"Friday, 26 July, 2013",12:55:00,7/26/13 12:55,267,25.73233,-79.24735,M
"Saturday, 27 July, 2013",11:07:00,7/27/13 11:07,267,25.7316,-79.24826,H
"Saturday, 27 July, 2013",11:12:00,7/27/13 11:12,267,25.73165,-79.2483,H
"Saturday, 27 July, 2013",11:17:00,7/27/13 11:17,267,25.73141,-79.24844,H
"Saturday, 27 July, 2013",11:22:00,7/27/13 11:22,267,25.73262,-79.24786,H
"Saturday, 27 July, 2013",11:27:00,7/27/13 11:27,267,25.73291,-79.24712,H
"Saturday, 27 July, 2013",11:32:00,7/27/13 11:32,267,25.73314,-79.24769,H
"Saturday, 27 July, 2013",11:37:00,7/27/13 11:37,267,25.73356,-79.24738,H
"Saturday, 27 July, 2013",11:42:00,7/27/13 11:42,267,25.73354,-79.24804,H
"Saturday, 27 July, 2013",11:47:00,7/27/13 11:47,267,25.7341,-79.24809,H
"Saturday, 27 July, 2013",11:52:00,7/27/13 11:52,267,25.73352,-79.24903,H
"Saturday, 27 July, 2013",11:57:00,7/27/13 11:57,267,25.73359,-79.24898,M
"Saturday, 27 July, 2013",12:02:00,7/27/13 12:02,267,25.73363,-79.24912,M
"Saturday, 27 July, 2013",12:07:00,7/27/13 12:07,267,25.73351,-79.24936,M
"Saturday, 27 July, 2013",12:12:00,7/27/13 12:12,267,25.73373,-79.25007,M
"Saturday, 27 July, 2013",12:17:00,7/27/13 12:17,267,25.7336,-79.24948,M
"Saturday, 27 July, 2013",12:22:00,7/27/13 12:22,267,25.73321,-79.2597,M
"Saturday, 27 July, 2013",12:27:00,7/27/13 12:27,267,25.73292,-79.25101,M
"Saturday, 27 July, 2013",12:32:00,7/27/13 12:32,267,25.73309,-79.25088,M
"Saturday, 27 July, 2013",12:37:00,7/27/13 12:37,267,25.73257,-79.25036,M
"Saturday, 27 July, 2013",12:42:00,7/27/13 12:42,267,25.73176,-79.25056,M
"Saturday, 27 July, 2013",12:47:00,7/27/13 12:47,267,25.73116,-79.25116,M
"Saturday, 27 July, 2013",12:52:00,7/27/13 12:52,267,25.73094,-79.25159,M
"Saturday, 27 July, 2013",12:57:00,7/27/13 12:57,267,25.73003,-79.25104,M
"Saturday, 27 July, 2013",14:04:00,7/27/13 14:04,267,25.7276,-79.25002,M
"Saturday, 27 July, 2013",14:10:00,7/27/13 14:10,267,25.72784,-79.25029,M
"Saturday, 27 July, 2013",14:15:00,7/27/13 14:15,267,25.72644,-79.25033,L
"Saturday, 27 July, 2013",14:20:00,7/27/13 14:20,267,25.7254,-79.24908,L
"Saturday, 27 July, 2013",14:25:00,7/27/13 14:25,267,25.72488,-79.24882,L
"Saturday, 27 July, 2013",14:30:00,7/27/13 14:30,267,25.72552,-79.24855,L
"Saturday, 27 July, 2013",14:36:00,7/27/13 14:36,267,25.72481,-79.24686,L
"Saturday, 27 July, 2013",14:41:00,7/27/13 14:41,267,25.72524,-79.24595,L
"Saturday, 27 July, 2013",14:46:00,7/27/13 14:46,267,25.72511,-79.24615,L
"Saturday, 27 July, 2013",14:51:00,7/27/13 14:51,267,25.72562,-79.24539,L
"Saturday, 27 July, 2013",14:56:00,7/27/13 14:56,267,25.72488,-79.24525,L
"Saturday, 27 July, 2013",15:06:00,7/27/13 15:06,267,25.7286,-79.24369,L
"Saturday, 27 July, 2013",15:10:00,7/27/13 15:10,267,25.72475,-79.24371,L
"Saturday, 27 July, 2013",15:15:00,7/27/13 15:15,267,25.72591,-79.24455,L
"Saturday, 27 July, 2013",15:20:00,7/27/13 15:20,267,25.72497,-79.24299,L
"Saturday, 27 July, 2013",15:25:00,7/27/13 15:25,267,25.72386,-79.24172,L
"Saturday, 27 July, 2013",15:30:00,7/27/13 15:30,267,25.72378,-79.24052,L
"Saturday, 27 July, 2013",15:35:00,7/27/13 15:35,267,25.7246,-79.24042,L
"Saturday, 27 July, 2013",15:40:00,7/27/13 15:40,267,25.72414,-79.24107,L
