"time","station","elasmo","sensor.value","sensor.unit","location","Agency","Species"
2016-06-09 10:39:00,126407,"19692",NA,"","mini wall","BBFSF.Bim","Galeocerdo cuvier"
2016-06-09 10:40:00,126407,"19692",NA,"","mini wall","BBFSF.Bim","Galeocerdo cuvier"
2016-06-10 02:10:00,104674,"19692",NA,"","west west turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-06-10 02:12:00,104674,"19692",NA,"","west west turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-06-13 18:56:00,124098,"19692",NA,"","grate west","BBFSF.Bim","Galeocerdo cuvier"
2016-06-13 18:58:00,124098,"19692",NA,"","grate west","BBFSF.Bim","Galeocerdo cuvier"
2016-06-15 20:50:00,109655,"19692",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2016-06-15 21:13:00,109655,"19692",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2016-06-15 21:15:00,109655,"19692",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2016-06-15 21:18:00,109655,"19692",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2016-06-16 07:54:00,124081,"19692",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2016-06-16 07:56:00,124081,"19692",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2016-06-19 17:16:00,124081,"19692",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2016-06-19 17:18:00,124081,"19692",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2016-06-19 22:35:00,124098,"19692",NA,"","grate west","BBFSF.Bim","Galeocerdo cuvier"
2016-06-19 22:38:00,124098,"19692",NA,"","grate west","BBFSF.Bim","Galeocerdo cuvier"
2016-06-20 00:16:00,126410,"19692",NA,"","west turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-06-20 00:18:00,126410,"19692",NA,"","west turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 02:36:00,125907,"19692",NA,NA,"north rock","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 02:38:00,125907,"19692",NA,NA,"north rock","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 07:34:00,126400,"19692",NA,NA,"longline b","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 07:36:00,126400,"19692",NA,NA,"longline b","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 07:38:00,126400,"19692",NA,NA,"longline b","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 07:40:00,126400,"19692",NA,NA,"longline b","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 07:42:00,126400,"19692",NA,NA,"longline b","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 07:44:00,126400,"19692",NA,NA,"longline b","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 19:25:00,124049,"19692",NA,NA,"north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 19:27:00,124049,"19692",NA,NA,"north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 19:29:00,124049,"19692",NA,NA,"north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 19:31:00,124049,"19692",NA,NA,"north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2016-09-01 19:33:00,124049,"19692",NA,NA,"north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2016-09-03 12:20:00,124098,"19692",NA,"","grate west","BBFSF.Bim","Galeocerdo cuvier"
2016-09-03 12:23:00,124098,"19692",NA,"","grate west","BBFSF.Bim","Galeocerdo cuvier"
2016-09-03 12:25:00,124098,"19692",NA,"","grate west","BBFSF.Bim","Galeocerdo cuvier"
2016-09-07 07:08:00,124081,"19692",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2016-09-07 07:11:00,124081,"19692",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2016-09-07 07:13:00,124081,"19692",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2016-09-07 07:17:00,124081,"19692",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2016-09-07 11:38:00,102307,"19692",NA,"","west west turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-09-07 11:39:00,102307,"19692",NA,"","west west turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-09-07 11:42:00,102307,"19692",NA,"","west west turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-09-17 21:35:00,126412,"19692",NA,"","south west south turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-09-17 21:39:00,126412,"19692",NA,"","south west south turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-09-22 03:25:00,106806,"19692",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2016-09-22 03:27:00,106806,"19692",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2016-09-22 03:29:00,106806,"19692",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2016-09-29 04:55:00,126408,"19692",NA,"","mini barge west","BBFSF.Bim","Galeocerdo cuvier"
2016-09-29 04:57:00,126408,"19692",NA,"","mini barge west","BBFSF.Bim","Galeocerdo cuvier"
2016-09-29 04:59:00,126408,"19692",NA,"","mini barge west","BBFSF.Bim","Galeocerdo cuvier"
2016-10-01 11:34:00,124081,"19692",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2016-10-01 11:36:00,124081,"19692",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 00:30:00,107073,"19692",NA,"","south west turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 00:32:00,107073,"19692",NA,"","south west turtle","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 03:56:00,126407,"19692",NA,"","new barge","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 03:58:00,126407,"19692",NA,"","new barge","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 04:00:00,126407,"19692",NA,"","new barge","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 04:02:00,126407,"19692",NA,"","new barge","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 04:04:00,126407,"19692",NA,"","new barge","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 04:06:00,126407,"19692",NA,"","new barge","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 04:08:00,126407,"19692",NA,"","new barge","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 04:10:00,126407,"19692",NA,"","new barge","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 04:12:00,126407,"19692",NA,"","new barge","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 10:59:00,104672,"19692",NA,NA,"longline c","BBFSF.Bim","Galeocerdo cuvier"
2016-10-02 11:21:00,126400,"19692",NA,NA,"longline b","BBFSF.Bim","Galeocerdo cuvier"
2016-10-04 05:31:00,124097,"19692",NA,"","grate west","BBFSF.Bim","Galeocerdo cuvier"
