"GPS.N","GPS.W","location","location.code","mooring","Hobo.present","Agency","depth","habitattype","year"
"25.73795","-79.24519","Aya entrance","Aya.entr","concrete casing","n","BBFSF.Bim","1","seagrass bed","2017"
"25.74004","-79.243496","Aya inside","Aya.in","concrete casing","n","BBFSF.Bim","0.5","seagrass bed","2017"
"25.69792","-79.31699","bimini barge","BBGE","auger","n","BBFSF.Bim","27",NA,"2014"
"25.73044","-79.24995","bonefish hole","BFH","concrete casing","y","BBFSF.Bim","2",NA,"2015"
"25.73464","-79.23384","bonefish hole channel flag","BFH CHF","concrete casing","y","BBFSF.Bim","1",NA,"2014"
"25.54572","-79.2872","CAT","CAT","auger","n","BBFSF.Bim","8",NA,"2017"
"25.54587","-79.29751","Cat West","CATW","auger","n","BBFSF.Bim","16",NA,"2017"
"25.736668","-79.25357","Drug entrance","drug.ent","concrete casing","n","BBFSF.Bim","1.5","seagrass bed","2017"
"25.743743","-79.260114","Drug lake","drug.lake","concrete casing","n","BBFSF.Bim","1","seagrass bed","2017"
"25.69541","-79.2916","Duck Pond","DP","concrete casing","n","BBFSF.Bim","1.5","sand/seagrass","2016"
"25.73086","-79.24273","east","east","concrete casing","n","BBFSF.Bim","0.5","seagrass bed","2017"
"25.69331","-79.30022","East Round Rock","ERR","concrete casing","n","BBFSF.Bim","1.5","seagrass/sand","2016"
"25.7923","-79.24265","east wells north east","EWNE","auger","n","BBFSF.Bim","4",NA,"2014"
"25.70287","-79.31134","grate west","GRTEW","float","n","BBFSF.Bim","6",NA,"2014"
"26.02694","-79.08398","Great Isaac's South East","GISE","auger","n","BBFSF.Bim","4",NA,"2016"
"26.02288","-79.09042","Great Isaac's South West","GISW","auger","n","BBFSF.Bim","4",NA,"2016"
"26.03497","-79.08408","Great Isacs NE","GINE","auger","n","BBFSF.Bim","15",NA,"2017"
"26.0313","-79.09427","Great Isacs NW","GINW","auger","n","BBFSF.Bim","15",NA,"2017"
"25.57718","-79.30363","GUN","GUN","auger","n","BBFSF.Bim","10",NA,"2017"
"25.57494","-79.31396","GUN WEST","GUNW","auger","n","BBFSF.Bim","28.7",NA,"2017"
"25.80426","-79.11283","hesperus","HES","auger","n","BBFSF.Bim","4","sandy, 100m away from wreck","2015"
"25.724844","-79.252768","lagoon","lagoon","concrete casing","n","BBFSF.Bim","1","seagrass bed","2017"
"25.70641","-79.23304","longline a","LLA","concrete casing","n","BBFSF.Bim","1.5",NA,"2014"
"25.70588","-79.21245","longline a east","LLAE","auger","y","BBFSF.Bim","1.5",NA,"2015"
"25.70106","-79.23595","longline a south","LLAS","auger","n","BBFSF.Bim","1.5",NA,"2014"
"25.71305","-79.22998","longline b","LLB","auger","y","BBFSF.Bim","1.5",NA,"2014"
"25.71193","-79.21042","longline b east","LLBE","auger","n","BBFSF.Bim","1.5",NA,"2015"
"25.71884","-79.22916","longline c","LLC","auger","n","BBFSF.Bim","1.5",NA,"2014"
"25.71782","-79.20853","longline c east","LLCE","auger","y","BBFSF.Bim","1.5",NA,"2015"
"25.72484","-79.22817","longline d","LLD","concrete casing","n","BBFSF.Bim","1.5",NA,"2014"
"25.729899","-79.257352","Mangrove edge","man.edge","concrete casing","n","BBFSF.Bim","1","seagrass bed","2017"
"25.726661","-79.263517","Mangrove edge west","man.w","concrete casing","n","BBFSF.Bim","1","seagrass bed","2017"
"25.743863","-79.248148","Maze","Maze","concrete casing","n","BBFSF.Bim","1","seagrass bed","2017"
"25.72441","-79.30922","mini barge west","BMBW","auger","y","BBFSF.Bim","14",NA,"2014"
"25.81482","-79.28847","mini wall","MW","auger","y","BBFSF.Bim","26",NA,"2015"
"25.81069","-79.27121","mozel bank","MOZ","auger","n","BBFSF.Bim","4",NA,"2015"
"25.74273","-79.30235","new barge","BNB","auger","n","BBFSF.Bim","12",NA,"2014"
"25.74705","-79.22639","north finger 1","NF1","auger","n","BBFSF.Bim","3",NA,"2014"
"25.76929","-79.23306","north finger 2","NF2","auger","y","BBFSF.Bim","3",NA,"2014"
"25.78801","-79.28249","north pier","NP","auger","y","BBFSF.Bim","7",NA,"2015"
"25.80005","-79.25846","north rock","BNR","auger","y","BBFSF.Bim","4",NA,"2014"
"25.76629","-79.2625","north sound 1","NS1-New","concrete casing","y","BBFSF.Bim","1",NA,"2015"
"25.75243","-79.26749","north sound 2","NS2-New","concrete casing","n","BBFSF.Bim","1",NA,"2015"
"25.67416","-79.30888","northwest turtle rock","NWT","auger","n","BBFSF.Bim","14.4",NA,"2014"
"25.64669","-79.23573","Nurse Wing","NW","auger","n","BBFSF.Bim","2","sand/seagrass/wreck","2016"
"25.76453","-79.29315","pier","PIER","auger","y","BBFSF.Bim","6",NA,"2015"
"25.7265","-79.27508","pigeon cay","PIG","concrete casing","n","BBFSF.Bim","1",NA,"2014"
"25.69425","-79.28177","Plane Wreck","PW","concrete casing","n","BBFSF.Bim","1","sand/seagrass","2016"
"25.70446","-79.25301","radio channel 1","RAD1","concrete casing","n","BBFSF.Bim","1",NA,"2014"
"25.70908","-79.26305","radio channel 2","RAD2","concrete casing","y","BBFSF.Bim","1",NA,"2014"
"25.71104","-79.27592","radio channel 3","RAD3","concrete casing","n","BBFSF.Bim","1",NA,"2014"
"25.71648","-79.28352","radio channel 4","RAD4","concrete casing","y","BBFSF.Bim","1",NA,"2014"
"25.66516","-79.29208","Sapona 1","Sap1","auger","n","BBFSF.Bim","3","seagrass","2017"
"25.65604","-79.2923","Sapona 2","Sap2","auger","n","BBFSF.Bim","4","seagrass","2017"
"25.72249","-79.27496","sharkland","SLA","concrete casing","n","BBFSF.Bim","1",NA,"2014"
"25.73988","-79.27431","sharkland marsh","SLM","concrete casing","y","BBFSF.Bim","1",NA,"2015"
"25.68261","-79.30132","south bimini 1","SB1","housing","n","BBFSF.Bim","5",NA,"2014"
"25.67316","-79.30154","south bimini 1 south","SB1S","auger","n","BBFSF.Bim","4",NA,"2015"
"25.68264","-79.29156","south bimini 2","SB2","auger","n","BBFSF.Bim","3",NA,"2014"
"25.67334","-79.29142","south bimini 2 south","SB2S","auger","y","BBFSF.Bim","3",NA,"2015"
"25.68256","-79.2818","south bimini 3","SB3","auger","y","BBFSF.Bim","2",NA,"2014"
"25.67332","-79.28196","south bimini 3 south","SB3S","concrete casing","n","BBFSF.Bim","4",NA,"2015"
"25.68037","-79.27218","south bimini 4","SB4","auger","n","BBFSF.Bim","2",NA,"2014"
"25.67133","-79.27232","south bimini 4 south","SB4S","auger","n","BBFSF.Bim","3",NA,"2015"
