ODBA,resting,bursting,Tidal_Phase,Diel_Phase,Season,ID,Size
0.1155,0,33.3,2,4,1,1,78
0.0858,0,0,1,4,1,1,78
0.0715,10,0,1,4,1,1,78
0.1905,0,96.7,1,4,1,1,78
0.0871,0,0,1,4,1,1,78
0.0753,0,0,1,4,1,1,78
0.0881,0,0,2,4,1,1,78
0.0872,0,0,2,4,1,1,78
0.0727,0,0,3,1,1,1,78
0.0748,0,0,3,1,1,1,78
0.0799,0,0,3,2,1,1,78
0.0855,0,3.3,3,2,1,1,78
0.0829,0,1.7,2,2,1,1,78
0.0837,0,0,2,2,1,1,78
0.0726,0,0,1,2,1,1,78
0.0784,0,0,1,2,1,1,78
0.03,100,0,1,2,1,1,78
0.0813,1.7,0,1,2,1,1,78
0.1102,0,3.3,1,2,1,1,78
0.0925,0,5,2,2,1,1,78
0.0847,0,0,2,2,1,1,78
0.0902,0,0,3,2,1,1,78
0.0625,0,0,3,2,1,1,78
0.0759,0,0,3,3,1,1,78
0.0829,0,1.7,3,3,1,1,78
0.0808,0,0,2,4,1,1,78
0.083,0,10,2,4,1,1,78
0.0696,0,0,1,4,1,1,78
0.0782,0,8.3,1,4,1,1,78
0.1048,0,11.7,1,4,1,1,78
0.0909,0,0,1,4,1,1,78
0.1384,0,11.7,1,4,1,1,78
0.1027,5,0,2,4,1,1,78
0.0871,0,11.7,2,1,1,1,78
0.0725,0,0,3,1,1,1,78
0.073,0,6.7,3,2,1,1,78
0.0748,0,0,3,2,1,1,78
0.0805,0,0,3,2,1,1,78
0.0769,0,0,2,2,1,1,78
0.0848,0,0,2,2,1,1,78
0.0758,0,3.3,1,2,1,1,78
0.0698,0,0,1,2,1,1,78
0.0809,0,3.3,1,2,1,1,78
0.1383,0,38.3,1,2,1,1,78
0.0778,0,1.7,1,2,1,1,78
0.0979,0,10,2,2,1,1,78
0.0307,100,0,2,2,1,1,78
0.0343,100,0,3,2,1,1,78
0.091,0,0,3,3,1,1,78
0.0941,0,0,3,3,1,1,78
0.0705,0,0,3,4,1,1,78
0.0861,0,0,2,4,1,1,78
0.1227,0,0,2,4,1,1,78
0.0975,0,0,1,4,1,1,78
0.0846,0,0,1,4,1,1,78
0.0822,0,0,1,4,1,1,78
0.0864,0,0,1,4,1,1,78
0.0742,0,0,1,4,1,1,78
0.0871,0,0,2,1,1,1,78
0.0697,0,0,2,1,1,1,78
0.0627,0,0,3,2,1,1,78
0.0699,0,0,3,2,1,1,78
0.0777,0,0,3,2,1,1,78
0.0896,0,0,3,2,1,1,78
0.0846,0,0,2,2,1,1,78
0.075,0,0,2,2,1,1,78
0.0363,100,0,1,2,1,1,78
0.0295,100,0,1,2,1,1,78
0.0699,0,0,1,2,1,1,78
0.0662,3.3,0,1,2,1,1,78
0.0822,0,0,1,2,1,1,78
0.0322,85,0,2,2,1,1,78
0.0871,0,0,2,2,1,1,78
0.0737,0,41.7,3,3,1,1,78
0.0685,0,0,3,3,1,1,78
0.0349,88.3,0,3,4,1,1,78
0.0635,0,0,3,4,1,1,78
0.1104,0,46.7,2,4,1,1,78
0.0743,21.7,0,2,4,1,1,78
0.0664,0,0,1,4,1,1,78
0.0851,0,1.7,1,4,1,1,78
0.0781,0,0,1,4,1,1,78
0.089,0,0,1,4,1,1,78
0.0828,0,0,1,1,1,1,78
0.0299,100,0,2,1,1,1,78
0.0328,0,0,2,2,1,1,78
0.0327,51.7,0,3,2,1,1,78
0.082,0,0,3,2,1,1,78
0.0805,0,0,3,2,1,1,78
0.0889,0,0,3,2,1,1,78
0.0634,0,0,2,2,1,1,78
0.095,0,0,2,2,1,1,78
0.0739,0,0,1,2,1,1,78
0.1292,0,80,1,2,1,1,78
0.0286,78.3,3.3,1,2,1,1,78
0.0694,100,0,1,2,1,1,78
0.034,0,1.7,1,2,1,1,78
0.0696,0,0,2,2,1,1,78
0.0403,0,5,2,3,1,1,78
0.0651,0,0,3,3,1,1,78
0.0807,26.7,0,3,4,1,1,78
0.0949,0,0,3,4,1,1,78
0.0999,0,0,3,4,1,1,78
0.0763,0,0,2,4,1,1,78
0.0799,0,3.3,2,4,1,1,78
0.113,0,61.7,1,4,1,1,78
0.0806,0,0,1,4,1,1,78
0.0998,0,0,1,4,1,1,78
0.0808,0,0,1,1,1,1,78
0.0829,0,0,1,1,1,1,78
0.0655,0,0,2,2,1,1,78
0.0811,0,0,2,2,1,1,78
0.0813,81.7,0,3,2,1,1,78
0.0286,100,0,3,2,1,1,78
